Date,CNR
6/19/2014,18.72
6/20/2014,18.76
6/23/2014,18.54
6/24/2014,18.51
6/25/2014,18.98
6/26/2014,18.86
6/27/2014,19.05
6/30/2014,19.43
7/1/2014,19.76
7/2/2014,19.55
7/3/2014,19.56
7/7/2014,19.2
7/8/2014,18.63
7/9/2014,18.49
7/10/2014,18.59
7/11/2014,18.99
7/14/2014,18.75
7/15/2014,19
7/16/2014,19.1
7/17/2014,18.63
7/18/2014,18.66
7/21/2014,18.44
7/22/2014,18.65
7/23/2014,18.86
7/24/2014,18.19
7/25/2014,17.99
7/28/2014,17.61
7/29/2014,17.53
7/30/2014,17.33
7/31/2014,16.76
8/1/2014,16.9
8/4/2014,17.07
8/5/2014,17.38
8/6/2014,17.9
8/7/2014,17.77
8/8/2014,18.07
8/11/2014,18.65
8/12/2014,18.6
8/13/2014,18.81
8/14/2014,19.12
8/15/2014,18.9
8/18/2014,19.4
8/19/2014,19.43
8/20/2014,19.25
8/21/2014,19.58
8/22/2014,19.44
8/25/2014,19.56
8/26/2014,19.69
8/27/2014,19.8
8/28/2014,20.1
8/29/2014,19.96
9/2/2014,19.74
9/3/2014,20.43
9/4/2014,20.19
9/5/2014,20.2
9/8/2014,20.09
9/9/2014,21.14
9/10/2014,20.14
9/11/2014,20.21
9/12/2014,19.99
9/15/2014,19.71
9/16/2014,19.86
9/17/2014,19.97
9/18/2014,20.54
9/19/2014,20.51
9/22/2014,20.29
9/23/2014,20.14
9/24/2014,20.1
9/25/2014,19.65
9/26/2014,19.67
9/29/2014,19.81
9/30/2014,19.4
10/1/2014,18.74
10/2/2014,19.04
10/3/2014,19.09
10/6/2014,18.98
10/7/2014,18.36
10/8/2014,18.65
10/9/2014,18.42
10/10/2014,17.82
10/13/2014,17.9
10/14/2014,17.76
10/15/2014,17.93
10/16/2014,18.31
10/17/2014,18.72
10/20/2014,18.59
10/21/2014,19.13
10/22/2014,18.74
10/23/2014,19.26
10/24/2014,19.19
10/27/2014,19.36
10/28/2014,19.53
10/29/2014,19.43
10/30/2014,19.38
10/31/2014,19.87
11/3/2014,19.82
11/4/2014,19.35
11/5/2014,19.25
11/6/2014,19.33
11/7/2014,19.49
11/10/2014,19.8
11/11/2014,19.37
11/12/2014,19.3
11/13/2014,18.89
11/14/2014,19
11/17/2014,18.45
11/18/2014,19.3
11/19/2014,18.85
11/20/2014,19.24
11/21/2014,19.16
11/24/2014,19.29
11/25/2014,18.88
11/26/2014,19
11/28/2014,18.66
12/1/2014,18.24
12/2/2014,18.8
12/3/2014,19.02
12/4/2014,18.71
12/5/2014,18.85
12/8/2014,18.14
12/9/2014,18.15
12/10/2014,19.31
12/11/2014,19.17
12/12/2014,18.01
12/15/2014,17.07
12/16/2014,17.38
12/17/2014,17.87
12/18/2014,17.82
12/19/2014,17.46
12/22/2014,17.64
12/23/2014,17.67
12/24/2014,17.78
12/26/2014,18.01
12/29/2014,18.65
12/30/2014,18.56
12/31/2014,18.52
1/2/2015,18.26
1/5/2015,17.53
1/6/2015,16.55
1/7/2015,15.78
1/8/2015,16.22
1/9/2015,16.45
1/12/2015,16.63
1/13/2015,16.66
1/14/2015,16.49
1/15/2015,15.76
1/16/2015,16.05
1/20/2015,15.78
1/21/2015,16.04
1/22/2015,16.24
1/23/2015,16.13
1/26/2015,16.41
1/27/2015,16.3
1/28/2015,15.76
1/29/2015,15.79
1/30/2015,15.43
2/2/2015,15.61
2/3/2015,16.28
2/4/2015,16.06
2/5/2015,16.3
2/6/2015,16.56
2/9/2015,16.56
2/10/2015,16.84
2/11/2015,16.72
2/12/2015,17.1
2/13/2015,17.42
2/17/2015,17.2
2/18/2015,17.23
2/19/2015,17.5
2/20/2015,17.25
2/23/2015,16.86
2/24/2015,16.76
2/25/2015,16.74
2/26/2015,16.9
2/27/2015,16.84
3/2/2015,17.02
3/3/2015,17
3/4/2015,16.76
3/5/2015,16.75
3/6/2015,16.33
3/9/2015,16.25
3/10/2015,15.81
3/11/2015,16.89
3/12/2015,16.92
3/13/2015,16.7
3/16/2015,16.61
3/17/2015,16.91
3/18/2015,17.02
3/19/2015,17.1
3/20/2015,17.44
3/23/2015,17.59
3/24/2015,17.3
3/25/2015,17.26
3/26/2015,17.26
3/27/2015,17.13
3/30/2015,17.15
3/31/2015,17.28
4/1/2015,17.5
4/2/2015,17.31
4/6/2015,17.05
4/7/2015,16.77
4/8/2015,16.77
4/9/2015,16.48
4/10/2015,16.71
4/13/2015,16.93
4/14/2015,17.27
4/15/2015,17.24
4/16/2015,17.08
4/17/2015,16.93
4/20/2015,16.77
4/21/2015,16.52
4/22/2015,16.51
4/23/2015,16.17
4/24/2015,16.35
4/27/2015,16.08
4/28/2015,16.24
4/29/2015,15.94
4/30/2015,15.48
5/1/2015,15.56
5/4/2015,15.52
5/5/2015,15.51
5/6/2015,15.32
5/7/2015,15.22
5/8/2015,15.2
5/11/2015,15.2
5/12/2015,14.81
5/13/2015,14.88
5/14/2015,15.4
5/15/2015,15.36
5/18/2015,15.39
5/19/2015,15.48
5/20/2015,15.31
5/21/2015,15.57
5/22/2015,15.3
5/26/2015,15.15
5/27/2015,15.16
5/28/2015,15.24
5/29/2015,14.98
6/1/2015,14.67
6/2/2015,14.56
6/3/2015,15.07
6/4/2015,14.96
6/5/2015,15.02
6/8/2015,15.09
6/9/2015,14.78
6/10/2015,15.01
6/11/2015,14.99
6/12/2015,15.03
6/15/2015,14.91
6/16/2015,15.14
6/17/2015,15.28
6/18/2015,15.59
6/19/2015,15.72
6/22/2015,15.63
6/23/2015,16
6/24/2015,15.9
6/25/2015,15.59
6/26/2015,15.59
6/29/2015,14.98
6/30/2015,15.07
7/1/2015,14.91
7/2/2015,14.73
7/6/2015,14.45
7/7/2015,14.28
7/8/2015,13.9
7/9/2015,14.19
7/10/2015,14.49
7/13/2015,14.53
7/14/2015,14.41
7/15/2015,14.12
7/16/2015,13.97
7/17/2015,14.03
7/20/2015,13.85
7/21/2015,13.73
7/22/2015,13.61
7/23/2015,13.41
7/24/2015,12.88
7/27/2015,12.45
7/28/2015,12.88
7/29/2015,13.02
7/30/2015,13.09
7/31/2015,12.95
8/3/2015,12.82
8/4/2015,12.91
8/5/2015,12.73
8/6/2015,12.68
8/7/2015,12.26
8/10/2015,12.65
8/11/2015,12.37
8/12/2015,11.98
8/13/2015,11.36
8/14/2015,11.5
8/17/2015,11.68
8/18/2015,11.55
8/19/2015,11.49
8/20/2015,11.2
8/21/2015,10.88
8/24/2015,10.04
8/25/2015,9.96
8/26/2015,9.94
8/27/2015,10.21
8/28/2015,10.38
8/31/2015,10.43
9/1/2015,9.99
9/2/2015,9.95
9/3/2015,11.88
9/4/2015,11.79
9/8/2015,12.01
9/9/2015,12.19
9/10/2015,12.26
9/11/2015,12.06
9/14/2015,11.8
9/15/2015,12.03
9/16/2015,12.35
9/17/2015,12.28
9/18/2015,11.5
9/21/2015,11.47
9/22/2015,11.26
9/23/2015,10.79
9/24/2015,10.92
9/25/2015,10.71
9/28/2015,10.39
9/29/2015,10.15
