Date,OTEX
6/19/2014,24.14
6/20/2014,23.71
6/23/2014,23.93
6/24/2014,23.7
6/25/2014,23.41
6/26/2014,23.73
6/27/2014,23.91
6/30/2014,23.97
7/1/2014,24.51
7/2/2014,24.44
7/3/2014,24.38
7/7/2014,23.97
7/8/2014,23.96
7/9/2014,24.16
7/10/2014,24.05
7/11/2014,23.63
7/14/2014,23.65
7/15/2014,23.5
7/16/2014,23.67
7/17/2014,23.63
7/18/2014,23.86
7/21/2014,23.86
7/22/2014,23.95
7/23/2014,23.84
7/24/2014,23.82
7/25/2014,23.69
7/28/2014,23.83
7/29/2014,23.75
7/30/2014,24.22
7/31/2014,27.83
8/1/2014,27.49
8/4/2014,27.35
8/5/2014,27.17
8/6/2014,27.5
8/7/2014,27.34
8/8/2014,27.2
8/11/2014,27.7
8/12/2014,27.68
8/13/2014,28
8/14/2014,28.17
8/15/2014,27.55
8/18/2014,27.93
8/19/2014,27.7
8/20/2014,27.71
8/21/2014,27.86
8/22/2014,28.34
8/25/2014,28
8/26/2014,28.06
8/27/2014,28.35
8/28/2014,28.25
8/29/2014,28.12
9/2/2014,28.22
9/3/2014,28.88
9/4/2014,28.65
9/5/2014,28.65
9/8/2014,28.54
9/9/2014,28.49
9/10/2014,28.56
9/11/2014,28.59
9/12/2014,28.87
9/15/2014,28.8
9/16/2014,29.12
9/17/2014,28.75
9/18/2014,28.86
9/19/2014,28.16
9/22/2014,28.19
9/23/2014,27.91
9/24/2014,27.87
9/25/2014,27.41
9/26/2014,27.53
9/29/2014,27.57
9/30/2014,27.71
10/1/2014,27.47
10/2/2014,27.45
10/3/2014,27.66
10/6/2014,28.01
10/7/2014,27.83
10/8/2014,28.37
10/9/2014,28.16
10/10/2014,27.08
10/13/2014,26.51
10/14/2014,26.59
10/15/2014,26.6
10/16/2014,26.43
10/17/2014,27.05
10/20/2014,27.42
10/21/2014,27.69
10/22/2014,27.12
10/23/2014,25.58
10/24/2014,26.62
10/27/2014,26.59
10/28/2014,27.14
10/29/2014,26.98
10/30/2014,27.14
10/31/2014,27.56
11/3/2014,27.85
11/4/2014,28.2
11/5/2014,28.6
11/6/2014,28.82
11/7/2014,29
11/10/2014,29.37
11/11/2014,29.41
11/12/2014,29.11
11/13/2014,29.15
11/14/2014,29.55
11/17/2014,29.77
11/18/2014,29.93
11/19/2014,29.12
11/20/2014,28.9
11/21/2014,28.77
11/24/2014,28.59
11/25/2014,28.93
11/26/2014,29.37
11/28/2014,29.56
12/1/2014,29.55
12/2/2014,28.88
12/3/2014,29.62
12/4/2014,29.14
12/5/2014,29.75
12/8/2014,29.45
12/9/2014,29.59
12/10/2014,28.31
12/11/2014,28.53
12/12/2014,28.08
12/15/2014,28.31
12/16/2014,28.02
12/17/2014,28.31
12/18/2014,28.53
12/19/2014,28.96
12/22/2014,29.02
12/23/2014,29.59
12/24/2014,29.41
12/26/2014,29.47
12/29/2014,29.23
12/30/2014,29.46
12/31/2014,29.13
1/2/2015,29.06
1/5/2015,28.58
1/6/2015,27.67
1/7/2015,28.1
1/8/2015,28.5
1/9/2015,28.47
1/12/2015,28.02
1/13/2015,28.64
1/14/2015,28.33
1/15/2015,28.64
1/16/2015,29.18
1/20/2015,29.31
1/21/2015,29.14
1/22/2015,29.2
1/23/2015,29.3
1/26/2015,29.39
1/27/2015,29.8
1/28/2015,27.09
1/29/2015,27.93
1/30/2015,28.34
2/2/2015,27.92
2/3/2015,28.45
2/4/2015,28.27
2/5/2015,29.48
2/6/2015,28.94
2/9/2015,29.27
2/10/2015,29.5
2/11/2015,29.83
2/12/2015,30.1
2/13/2015,30.6
2/17/2015,30.31
2/18/2015,29.81
2/19/2015,29.83
2/20/2015,29.88
2/23/2015,29.72
2/24/2015,29.12
2/25/2015,29.37
2/26/2015,29.59
2/27/2015,29.11
3/2/2015,29.26
3/3/2015,29.06
3/4/2015,28.95
3/5/2015,28.79
3/6/2015,28.38
3/9/2015,28.75
3/10/2015,27.25
3/11/2015,26.84
3/12/2015,27.67
3/13/2015,27.33
3/16/2015,27.57
3/17/2015,27.83
3/18/2015,28.19
3/19/2015,27.93
3/20/2015,28.29
3/23/2015,28.24
3/24/2015,27.97
3/25/2015,27.1
3/26/2015,26.9
3/27/2015,26.55
3/30/2015,26.49
3/31/2015,26.45
4/1/2015,26.97
4/2/2015,26.78
4/6/2015,26.87
4/7/2015,27.68
4/8/2015,27.68
4/9/2015,27.76
4/10/2015,28
4/13/2015,28.23
4/14/2015,28.27
4/15/2015,29.06
4/16/2015,29.17
4/17/2015,28.61
4/20/2015,28.41
4/21/2015,28.76
4/22/2015,28.62
4/23/2015,28.71
4/24/2015,27.92
4/27/2015,28
4/28/2015,27.7
4/29/2015,25.97
4/30/2015,25.29
5/1/2015,25.21
5/4/2015,25.31
5/5/2015,25.01
5/6/2015,24.89
5/7/2015,24.64
5/8/2015,24.62
5/11/2015,24.29
5/12/2015,24.13
5/13/2015,24.03
5/14/2015,24.08
5/15/2015,24.41
5/18/2015,24.2
5/19/2015,24.1
5/20/2015,24.5
5/21/2015,21.23
