Date,SHOP
5/21/2015,25.68
5/22/2015,28.31
5/26/2015,29.65
5/27/2015,27.5
5/28/2015,27.45
5/29/2015,27.2
6/1/2015,27.33
6/2/2015,26.95
6/3/2015,27.44
6/4/2015,26.78
6/5/2015,27.39
6/8/2015,26.98
6/9/2015,28.34
6/10/2015,28.1
6/11/2015,30.73
6/12/2015,33.63
6/15/2015,35.5
6/16/2015,38.11
6/17/2015,38.63
6/18/2015,35.55
6/19/2015,35.52
6/22/2015,36.94
6/23/2015,35.43
6/24/2015,35.96
6/25/2015,34.84
6/26/2015,33.52
6/29/2015,31.32
6/30/2015,33.95
7/1/2015,31.11
7/2/2015,31.31
7/6/2015,30.53
7/7/2015,30.76
7/8/2015,29.19
7/9/2015,29.06
7/10/2015,29.6
7/13/2015,30.42
7/14/2015,30.86
7/15/2015,29.34
7/16/2015,29.39
7/17/2015,32.27
7/20/2015,33.75
7/21/2015,33.22
7/22/2015,32.14
7/23/2015,33.11
7/24/2015,33.57
7/27/2015,32.87
7/28/2015,34.06
7/29/2015,34.16
7/30/2015,38.13
7/31/2015,37.39
8/3/2015,40.36
8/4/2015,38.41
8/5/2015,38.45
8/6/2015,36.28
8/7/2015,35.16
8/10/2015,33.47
8/11/2015,35.14
8/12/2015,34.73
8/13/2015,35.31
8/14/2015,34.56
8/17/2015,34.41
8/18/2015,32.6
8/19/2015,31.1
8/20/2015,29.22
8/21/2015,27.77
8/24/2015,26.28
8/25/2015,26.93
8/26/2015,28.22
8/27/2015,28.51
8/28/2015,28
8/31/2015,27.54
9/1/2015,26.6
9/2/2015,26.7
9/3/2015,27.15
9/4/2015,26.81
9/8/2015,27.14
9/9/2015,26.01
9/10/2015,25.77
9/11/2015,26.36
9/14/2015,27.21
9/15/2015,28.11
9/16/2015,28.91
9/17/2015,35.55
9/18/2015,35.66
9/21/2015,34.83
9/22/2015,33.66
9/23/2015,33.5
9/24/2015,33.47
9/25/2015,33.91
9/28/2015,33.05
9/29/2015,33.64
9/30/2015,35.2
10/1/2015,35.07
10/2/2015,35.81
10/5/2015,36.76
10/6/2015,36.21
10/7/2015,37.33
10/8/2015,38.24
10/9/2015,37.02
10/12/2015,34.31
10/13/2015,33.12
10/14/2015,33.64
10/15/2015,34.14
10/16/2015,34.33
10/19/2015,33.36
10/20/2015,31.5
10/21/2015,31.95
10/22/2015,32.01
10/23/2015,31.66
10/26/2015,31.07
10/27/2015,31.04
10/28/2015,31.12
10/29/2015,31.59
10/30/2015,32.22
11/2/2015,30.96
11/3/2015,31.44
11/4/2015,31.75
11/5/2015,31.62
11/6/2015,31.54
11/9/2015,30.23
11/10/2015,28.59
11/11/2015,28.18
11/12/2015,28.86
11/13/2015,28.33
11/16/2015,27.35
11/17/2015,26.39
11/18/2015,28
11/19/2015,29.45
11/20/2015,28.23
11/23/2015,28.87
11/24/2015,26.95
11/25/2015,26.44
11/27/2015,26.71
11/30/2015,26.34
12/1/2015,26.28
12/2/2015,26.41
12/3/2015,26.83
12/4/2015,27.12
12/7/2015,26.88
12/8/2015,26.48
12/9/2015,24.81
12/10/2015,24.96
12/11/2015,24.76
12/14/2015,24.56
12/15/2015,25.36
12/16/2015,26.21
12/17/2015,26.53
12/18/2015,25.31
12/21/2015,24.45
12/22/2015,24.66
12/23/2015,24.92
12/24/2015,25.34
12/28/2015,24.84
12/29/2015,25.18
12/30/2015,25.98
12/31/2015,25.8
1/4/2016,25.72
1/5/2016,25.31
1/6/2016,25.3
1/7/2016,24.67
1/8/2016,24.93
1/11/2016,23.87
1/12/2016,23.74
1/13/2016,21.38
1/14/2016,20.64
1/15/2016,19.89
1/19/2016,20.3
1/20/2016,20.53
1/21/2016,22.79
1/22/2016,23.07
1/25/2016,23.13
1/26/2016,23.09
1/27/2016,22
1/28/2016,22.5
1/29/2016,23.22
2/1/2016,23.53
2/2/2016,22.62
2/3/2016,23
2/4/2016,23.48
2/5/2016,21.87
2/8/2016,20.38
2/9/2016,19.85
2/10/2016,19.97
2/11/2016,19.37
2/12/2016,19.33
2/16/2016,20.5
2/17/2016,22.37
2/18/2016,20.59
2/19/2016,20.57
2/22/2016,21.21
2/23/2016,20.04
2/24/2016,21.02
2/25/2016,21.66
2/26/2016,22
2/29/2016,22.38
3/1/2016,22.69
3/2/2016,24.36
3/3/2016,24.27
3/4/2016,25.16
3/7/2016,25.87
3/8/2016,26.79
3/9/2016,26.07
3/10/2016,25.39
3/11/2016,26.7
3/14/2016,26.58
3/15/2016,25.83
3/16/2016,26.8
3/17/2016,27.15
3/18/2016,28.49
3/21/2016,28.04
3/22/2016,27.51
3/23/2016,26.2
3/24/2016,26.99
3/28/2016,27.59
3/29/2016,27.97
3/30/2016,27.77
3/31/2016,28.21
4/1/2016,28.45
4/4/2016,29.3
4/5/2016,28.75
4/6/2016,29.5
4/7/2016,29.21
4/8/2016,29.55
4/11/2016,29.52
4/12/2016,29.77
4/13/2016,29.8
4/14/2016,30.96
4/15/2016,30.97
4/18/2016,31.53
4/19/2016,32.05
4/20/2016,31.5
4/21/2016,31.53
4/22/2016,31.81
4/25/2016,31.13
4/26/2016,31.47
4/27/2016,31.83
4/28/2016,31.75
4/29/2016,31.85
5/2/2016,31.41
5/3/2016,30.74
5/4/2016,29.61
5/5/2016,28.52
5/6/2016,27.72
5/9/2016,26.46
5/10/2016,26.63
5/11/2016,26.27
5/12/2016,26.95
5/13/2016,26.29
5/16/2016,26.16
5/17/2016,26.8
5/18/2016,26.34
5/19/2016,25.97
5/20/2016,26.1
5/23/2016,26.82
5/24/2016,27.06
5/25/2016,28.2
5/26/2016,27.76
5/27/2016,28.57
5/31/2016,29.29
6/1/2016,31.07
6/2/2016,29.84
6/3/2016,29.58
6/6/2016,30
6/7/2016,29.86
6/8/2016,30.09
6/9/2016,29.41
6/10/2016,28.28
6/13/2016,27.99
6/14/2016,29.05
6/15/2016,28.66
6/16/2016,28.37
6/17/2016,28.94
6/20/2016,29.77
6/21/2016,29.87
6/22/2016,29.81
6/23/2016,31.2
6/24/2016,29.07
6/27/2016,27.16
6/28/2016,28.54
6/29/2016,30.32
6/30/2016,30.76
7/1/2016,30.83
7/5/2016,30.61
7/6/2016,30.65
7/7/2016,30.37
7/8/2016,31
7/11/2016,31.85
7/12/2016,32.49
7/13/2016,31.99
7/14/2016,32.1
7/15/2016,32.32
7/18/2016,32.2
7/19/2016,33.26
7/20/2016,33.09
7/21/2016,32.73
7/22/2016,32.87
7/25/2016,32.6
7/26/2016,32.55
7/27/2016,33.21
7/28/2016,34.27
7/29/2016,34.27
8/1/2016,34.05
8/2/2016,33.53
8/3/2016,36.79
8/4/2016,36.85
8/5/2016,37.01
8/8/2016,38.31
8/9/2016,38.79
8/10/2016,39.29
8/11/2016,39.91
8/12/2016,39.38
8/15/2016,39.08
8/16/2016,38.37
8/17/2016,38.74
8/18/2016,40.25
8/19/2016,42.41
8/22/2016,42.47
8/23/2016,41.76
8/24/2016,40.94
8/25/2016,40.63
8/26/2016,41.52
8/29/2016,41.39
8/30/2016,41.29
8/31/2016,41.36
9/1/2016,40.67
9/2/2016,42.42
9/6/2016,43.19
9/7/2016,42.78
9/8/2016,43.21
9/9/2016,41.04
9/12/2016,41.63
9/13/2016,40.57
9/14/2016,40.9
9/15/2016,41.77
9/16/2016,41.49
9/19/2016,42.95
9/20/2016,42.46
9/21/2016,44.5
9/22/2016,43.86
9/23/2016,43.35
9/26/2016,43.2
9/27/2016,43.87
9/28/2016,42.75
9/29/2016,42.96
9/30/2016,42.92
10/3/2016,43.03
10/4/2016,43.41
10/5/2016,43.77
10/6/2016,43.68
10/7/2016,44.36
10/10/2016,43.73
10/11/2016,42.3
10/12/2016,42.39
10/13/2016,42.09
10/14/2016,42.82
10/17/2016,42.02
10/18/2016,42.48
10/19/2016,43.39
10/20/2016,43.15
10/21/2016,43.48
10/24/2016,43.86
10/25/2016,43.49
10/26/2016,43.03
10/27/2016,41.35
10/28/2016,40.84
10/31/2016,41.45
11/1/2016,40.78
11/2/2016,43.57
11/3/2016,40.41
11/4/2016,39.15
11/7/2016,40.15
11/8/2016,41.35
11/9/2016,40.58
11/10/2016,40.09
11/11/2016,39.66
11/14/2016,37.9
11/15/2016,39.92
11/16/2016,40.36
11/17/2016,42.02
11/18/2016,44.05
11/21/2016,44.89
11/22/2016,42.96
11/23/2016,43.05
11/25/2016,43.27
11/28/2016,42.49
11/29/2016,42.59
11/30/2016,41.67
12/1/2016,39.67
12/2/2016,39.05
12/5/2016,40.57
12/6/2016,40.9
12/7/2016,40.72
12/8/2016,42.63
12/9/2016,42.22
12/12/2016,42.04
12/13/2016,42.27
12/14/2016,41.75
12/15/2016,42.41
12/16/2016,42.05
12/19/2016,41.87
12/20/2016,41.42
12/21/2016,40.8
12/22/2016,40.17
12/23/2016,41.34
12/27/2016,43.64
12/28/2016,43.22
12/29/2016,43.1
12/30/2016,42.87
1/3/2017,42.82
1/4/2017,44.14
1/5/2017,47.68
1/6/2017,46.9
1/9/2017,47.18
1/10/2017,47.87
1/11/2017,48.33
1/12/2017,48.58
1/13/2017,48.1
1/17/2017,49.52
1/18/2017,49.98
1/19/2017,50.66
1/20/2017,50.09
1/23/2017,49.44
1/24/2017,49.42
1/25/2017,51.36
1/26/2017,51.01
1/27/2017,51.54
1/30/2017,50.7
1/31/2017,50.82
2/1/2017,51.19
2/2/2017,52.32
2/3/2017,52.12
2/6/2017,52.68
2/7/2017,53.13
2/8/2017,53.37
2/9/2017,54.61
2/10/2017,55.22
2/13/2017,56.05
2/14/2017,56.05
2/15/2017,60.61
2/16/2017,60.97
2/17/2017,61.52
2/21/2017,63.08
2/22/2017,63.59
2/23/2017,62.73
2/24/2017,61.75
2/27/2017,59.93
2/28/2017,59.21
3/1/2017,59.65
3/2/2017,59.67
3/3/2017,60.29
3/6/2017,59.32
3/7/2017,60.13
3/8/2017,60.91
3/9/2017,62.39
3/10/2017,64.15
3/13/2017,64.93
3/14/2017,63.83
3/15/2017,64.84
3/16/2017,64.99
3/17/2017,66.99
3/20/2017,68.86
3/21/2017,67.19
3/22/2017,66.71
3/23/2017,67.58
3/24/2017,68.98
3/27/2017,70.4
3/28/2017,72.37
3/29/2017,72.72
3/30/2017,69.05
3/31/2017,68.09
4/3/2017,69.23
4/4/2017,68.53
4/5/2017,67.89
4/6/2017,68.52
4/7/2017,68.71
4/10/2017,69.28
4/11/2017,69.06
4/12/2017,69.25
4/13/2017,70.63
4/17/2017,71.7
4/18/2017,71.58
4/19/2017,72.64
4/20/2017,76.06
4/21/2017,76.38
4/24/2017,75.83
4/25/2017,76.65
4/26/2017,74.12
4/27/2017,73.09
4/28/2017,75.95
5/1/2017,77.26
5/2/2017,82.98
5/3/2017,81.72
5/4/2017,81.35
5/5/2017,85.53
5/8/2017,86.78
5/9/2017,89.15
5/10/2017,93.06
5/11/2017,92.02
5/12/2017,93.58
5/15/2017,94.24
5/16/2017,94.93
5/17/2017,89.84
5/18/2017,92.11
5/19/2017,88.87
5/22/2017,89.6
5/23/2017,90.02
5/24/2017,90.81
5/25/2017,90.22
5/26/2017,90.74
5/30/2017,90.57
5/31/2017,91.86
6/1/2017,93.44
6/2/2017,97.53
6/5/2017,97.48
6/6/2017,98.61
6/7/2017,96.99
6/8/2017,98.84
6/9/2017,91.45
6/12/2017,88.89
6/13/2017,86.93
6/14/2017,85.36
6/15/2017,85.48
6/16/2017,86.93
6/19/2017,90.56
6/20/2017,88.94
6/21/2017,91.25
6/22/2017,91.37
6/23/2017,94.48
6/26/2017,92.04
6/27/2017,87.04
6/28/2017,89.52
6/29/2017,86.4
6/30/2017,86.9
7/3/2017,86
7/5/2017,88.11
7/6/2017,86.21
7/7/2017,88.99
7/10/2017,90.99
7/11/2017,91.29
7/12/2017,94.68
7/13/2017,93.02
7/14/2017,92.41
7/17/2017,90.49
7/18/2017,93.18
7/19/2017,91.9
7/20/2017,90.87
7/21/2017,89.42
7/24/2017,93.61
7/25/2017,92.16
7/26/2017,93.92
7/27/2017,90.43
7/28/2017,92.98
7/31/2017,92.37
8/1/2017,104.08
8/2/2017,98.35
8/3/2017,97.16
8/4/2017,96.28
8/7/2017,97.79
8/8/2017,96.51
8/9/2017,95.19
8/10/2017,88.4
8/11/2017,91.71
8/14/2017,94.06
8/15/2017,93.15
8/16/2017,94.61
8/17/2017,93.5
8/18/2017,94.58
8/21/2017,96.27
8/22/2017,98.61
8/23/2017,102.46
8/24/2017,106.53
8/25/2017,103.74
8/28/2017,103.79
8/29/2017,104.37
8/30/2017,108.44
8/31/2017,110.92
9/1/2017,110.86
9/5/2017,110.67
9/6/2017,110.22
9/7/2017,113.46
9/8/2017,113.61
9/11/2017,117.99
9/12/2017,120.5
9/13/2017,119.21
9/14/2017,120.2
9/15/2017,120.26
9/18/2017,122.42
9/19/2017,122.94
9/20/2017,119.29
9/21/2017,120.15
9/22/2017,120.27
9/25/2017,114.47
9/26/2017,113.38
9/27/2017,117.4
9/28/2017,116.45
9/29/2017,116.49
10/2/2017,119
10/3/2017,116.81
10/4/2017,103.3
10/5/2017,100.43
10/6/2017,97.92
10/9/2017,97.38
10/10/2017,92.57
10/11/2017,95.02
10/12/2017,94.36
10/13/2017,94.22
10/16/2017,96.98
10/17/2017,96.21
10/18/2017,98.93
10/19/2017,98.25
10/20/2017,102.1
10/23/2017,102.91
10/24/2017,106.41
10/25/2017,102.99
10/26/2017,104.11
10/27/2017,107.27
10/30/2017,109.36
10/31/2017,99.49
11/1/2017,96.2
11/2/2017,99.89
11/3/2017,98.71
11/6/2017,99.84
11/7/2017,99.71
11/8/2017,99.4
11/9/2017,97.03
11/10/2017,100.01
11/13/2017,98.77
11/14/2017,98.97
11/15/2017,98.04
11/16/2017,103.89
11/17/2017,104.89
11/20/2017,108.56
11/21/2017,110.17
11/22/2017,110.41
11/24/2017,111.81
11/27/2017,113.36
11/28/2017,112.09
11/29/2017,103.67
11/30/2017,103.82
12/1/2017,103.27
12/4/2017,96.62
12/5/2017,95.28
12/6/2017,95.77
12/7/2017,99.79
12/8/2017,100.77
12/11/2017,104.11
12/12/2017,101.4
12/13/2017,103.21
12/14/2017,103.23
12/15/2017,105.22
12/18/2017,107.62
12/19/2017,105.73
12/20/2017,105.24
12/21/2017,104.8
12/22/2017,103.86
12/26/2017,104.84
12/27/2017,104.5
12/28/2017,102.39
12/29/2017,101
1/2/2018,105.49
1/3/2018,107.75
1/4/2018,109.95
1/5/2018,110.58
1/8/2018,112.35
1/9/2018,110.73
1/10/2018,111
1/11/2018,111.13
1/12/2018,112.8
1/16/2018,111.92
1/17/2018,114.91
1/18/2018,114.8
1/19/2018,115.48
1/22/2018,119.43
1/23/2018,118.69
1/24/2018,119.67
1/25/2018,124.9
1/26/2018,129.07
1/29/2018,127.3
1/30/2018,124.21
1/31/2018,127.92
2/1/2018,126.28
2/2/2018,125.12
2/5/2018,118.3
2/6/2018,122.14
2/7/2018,123.34
