Date,TSLA
6/19/2014,227.79
6/20/2014,229.59
6/23/2014,237.22
6/24/2014,232.5
6/25/2014,236.89
6/26/2014,235.6
6/27/2014,239.06
6/30/2014,240.06
7/1/2014,239.72
7/2/2014,229.43
7/3/2014,229.25
7/7/2014,222.66
7/8/2014,219.07
7/9/2014,223.06
7/10/2014,219.46
7/11/2014,218.13
7/14/2014,226.7
7/15/2014,219.58
7/16/2014,217.16
7/17/2014,215.4
7/18/2014,220.02
7/21/2014,220.54
7/22/2014,219.58
7/23/2014,222.49
7/24/2014,223.54
7/25/2014,223.57
7/28/2014,224.82
7/29/2014,225.01
7/30/2014,228.92
7/31/2014,223.3
8/1/2014,233.27
8/4/2014,238.52
8/5/2014,238.49
8/6/2014,248.93
8/7/2014,252.39
8/8/2014,248.13
8/11/2014,259.32
8/12/2014,259.96
8/13/2014,260.31
8/14/2014,261.38
8/15/2014,262.01
8/18/2014,259.94
8/19/2014,256.76
8/20/2014,255.71
8/21/2014,254.34
8/22/2014,256.78
8/25/2014,262.55
8/26/2014,261.74
8/27/2014,263.25
8/28/2014,263.86
8/29/2014,269.7
9/2/2014,284.12
9/3/2014,281.19
9/4/2014,286.04
9/5/2014,277.39
9/8/2014,282.11
9/9/2014,278.48
9/10/2014,281.1
9/11/2014,280.31
9/12/2014,279.2
9/15/2014,253.86
9/16/2014,260.74
9/17/2014,261.38
9/18/2014,263.82
9/19/2014,259.32
9/22/2014,250.03
9/23/2014,250.41
9/24/2014,252.14
9/25/2014,246.95
9/26/2014,246.6
9/29/2014,245.26
9/30/2014,242.68
10/1/2014,240.24
10/2/2014,251.42
10/3/2014,255.21
10/6/2014,260.62
10/7/2014,259.57
10/8/2014,259.28
10/9/2014,257.01
10/10/2014,236.91
10/13/2014,224.59
10/14/2014,227.06
10/15/2014,229.7
10/16/2014,226.35
10/17/2014,227.48
10/20/2014,230.47
10/21/2014,235.34
10/22/2014,231.1
10/23/2014,235.29
10/24/2014,235.24
10/27/2014,221.67
10/28/2014,242.77
10/29/2014,238.1
10/30/2014,238.66
10/31/2014,241.7
11/3/2014,242.59
11/4/2014,238.93
11/5/2014,230.97
11/6/2014,241.22
11/7/2014,240.2
11/10/2014,241.93
11/11/2014,251.08
11/12/2014,249.1
11/13/2014,251.7
11/14/2014,258.68
11/17/2014,253.98
11/18/2014,257.7
11/19/2014,247.74
11/20/2014,248.71
11/21/2014,242.78
11/24/2014,246.72
11/25/2014,248.09
11/26/2014,248.44
11/28/2014,244.52
12/1/2014,231.64
12/2/2014,231.43
